language;glottocode;lemma;pos;reference;meaning_ru;morph_deleted;target_ipa_morph;derived;target_ipa;russian_ipa;metathesis;problems;total_segments;match_count
Godoberi;ghod1238;АЛЖИ?РА/В;noun;Saidova 2006;Алжир;-aw,CL;a-l-?-'i-r-a-w;;a-l-?-'i-r;A-l-?-'i-r;;;5;4
Godoberi;ghod1238;АЛЖИ?РА/Й;noun;Saidova 2006;Алжир;-aj, CL;a-l-?-'i-r-a-j;1;a-l-?-'i-r;A-l-?-'i-r;;;5;4
Tindi;tind1238;АЛЖИ?РАВУ/Б;adj;Magomedova 2003;Алжир;-awub, CL;a-l-?-'i-r-a-w-u-b;;a-l-?-'i-r;A-l-?-'i-r;;;5;4
Chamalal;cham1309;АЛЖИ?РАЛИ;noun;Magomedova 1999;Алжир;-ali, PL;a-l-?-'i-r-a-l-i;;a-l-?-'i-r;A-l-?-'i-r;;;5;4
Godoberi;ghod1238;АЛЖИ?РА/Л;noun;Saidova 2006;Алжир;-al, PL;a-l-?-'i-r-a-l;1;a-l-?-'i-r;A-l-?-'i-r;;;5;4
Tindi;tind1238;АЛЖИ?Р/?ЙИ;noun;Magomedova 2003;Алжир;-a:ji, PL;a-l-?-'i-r-a:-j-i;1;a-l-?-'i-r;A-l-?-'i-r;;;5;4
Botlikh;botl1242;алиме?нт;noun;Alekseev, Azayev 2019;алименты;;;;a-l-i-m-'e-n-t;A-l?-I-m?-'e-n-t;;;7;7
Akhvakh;akhv1239;амас?е';noun;Magomedova, Abdulayeva 2007;алмаз;;;;a-0-m-a-s?-'e;A-l-m-'a-Z-0;;;6;3
Andi;andi1255;алмасси;noun;Salimov 2010;алмаз;;;;a-l-m-a-s?-i;A-l-m-'a-Z-0;;;6;4
Avar;avar1256;алма?с;noun;Gimbatov 2006;алмаз;;;;a-l-m-'a-s;A-l-m-'a-Z;;;5;4
Bagvalal;bagv1239;АЛМ?С;noun;Magomedova 2004;алмаз;;;;a-l-m-'a-s;A-l-m-'a-Z;;;5;4
Botlikh;botl1242;алма?с;noun;Alekseev, Azayev 2019;алмаз;;;;a-l-m-'a-s;A-l-m-'a-Z;;;5;4
Chamalal;cham1309;АЛМА?С;noun;Magomedova 1999;алмаз;;;;a-l-m-'a-s;A-l-m-'a-Z;;;5;4
Godoberi;ghod1238;АЛМ?С/И;noun;Saidova 2006;алмаз;;;;a-l-m-'a-s-i;A-l-m-'a-Z-0;;;6;4
